股票代码,股票名称,D-0日期,N1,N2,D-y振幅,D-x振幅,D-y~D-0区间涨幅,D-y~D-0区间振幅,D-0振幅,D+1(低/高),D+2最高价,D+3最高价,D+4最高价,D+5最高价,D+6最高价,D+7最高价,D+8最高价
600108,亚盛集团,2007-04-30,3,4,11.16,7.8,62.68%,63.8%,14.02,3%/10%(板),20%,11%,13%,8%,6%,3%,7%
600109,国金证券,2007-07-13,5,3,15.23,10.91,51.59%,56.82%,10.88,-9%/1%(阴),-9%,-9%,-7%,-5%,4%,8%(板),17%
600111,北方稀土,2009-03-12,7,5,11.7,9.12,20.26%,32.45%,12.07,-2%/3%(阴),9%,11%,16%,13%,19%,21%,14%
600112,*ST天成,2015-08-13,3,2,10.02,1.27,53.13%,53.13%,13.27,1%/8%(阴),7%,5%,-3%,-7%,-16%,-25%,-34%
600116,三峡水利,2016-01-26,8,4,12.52,11.87,12.09%,35.61%,0.38,-9%/-1%(阴),0%,-6%,-8%,-17%,-19%,-12%(板),-8%
600127,金健米业,2008-04-28,8,1,13.49,3.87,22.41%,32.16%,13.51,-5%/0%(阴),5%,8%,4%,3%,3%,9%,14%
600132,重庆啤酒,2012-02-23,4,3,11.8,10.37,47.19%,49.0%,10.99,-9%/4%(阴),-1%,-4%,-3%,-4%,-5%,-5%,-8%
600145,退市新亿,2007-08-15,8,2,12.7,10.41,30.68%,33.38%,9.9,-3%/10%(阴),1%,-1%,5%,6%,9%,7%,9%(板)
600146,退市环球,2019-02-22,4,3,8.15,10.6,38.37%,36.58%,9.79,11%/10%(板),21%,8%,6%,14%,17%,16%,26%
600148,长春一东,2017-07-24,7,3,11.75,12.23,36.8%,38.53%,10.63,-3%/2%(阴),4%,3%,-1%,-4%,-2%,-8%,-11%
600149,廊坊发展,2014-03-11,6,2,9.93,11.15,49.08%,49.08%,13.98,-2%/9%(阳),4%,0%,-1%,2%,12%,15%,9%
600149,廊坊发展,2014-04-09,5,2,10.42,13.07,50.69%,51.16%,12.33,-3%/4%(阳),0%,6%,6%,4%,3%,-3%,-9%
600158,中体产业,2009-03-18,3,4,10.14,13.08,41.49%,41.62%,12.18,-1%/5%(阳),4%,8%,7%,2%,2%,4%,-1%
600178,东安动力,2015-08-12,3,5,11.84,10.04,37.09%,38.9%,11.86,-2%/10%(板),13%,16%,13%,6%,1%,-3%,-14%
600186,莲花控股,2018-11-12,6,1,11.3,10.0,23.73%,24.86%,10.55,-2%/9%(阳),5%,5%,3%,0%,-2%,3%,2%
600187,*ST国中,2025-02-21,4,1,5.77,10.25,20.19%,17.63%,9.68,-3%/8%(阳),3%,1%,-1%,-3%,-4%,-5%,-5%
600190,退市锦港,2019-03-26,8,1,9.26,11.83,36.11%,35.49%,17.46,-6%/9%(阳),8%,-4%,-2%,-2%,-4%,-3%,-3%
600209,未找到标的,2008-12-03,3,5,11.4,10.96,28.07%,29.39%,10.57,0%/9%(阴),6%,5%,6%,4%,4%,0%,-5%
600213,*ST亚星,2022-05-27,5,3,10.02,14.16,58.8%,58.8%,15.32,0%/9%(板),5%,3%,4%(板),3%,-6%,-8%,-12%
600213,*ST亚星,2022-12-19,8,3,10.19,10.09,26.04%,26.27%,8.48,-3%/10%(板),20%,21%(板),21%,18%,15%,8%,8%
600218,全柴动力,2012-12-07,3,1,11.0,12.74,23.77%,29.84%,12.25,-3%/0%(阴),-3%,-1%,-2%,-2%,5%,0%,0%
600227,赤天化,2026-08-28,5,1,11.73,13.12,34.31%,36.07%,11.06,3%/10%(板),18%,14%,6%,3%,2%,8%(板),16%
600230,沧州大化,2008-02-20,4,1,7.4,8.33,54.56%,51.95%,9.83,-2%/3%(阳),3%,0%,2%,-3%,3%,12%,16%
600234,科新发展,2014-06-09,4,3,11.65,12.52,48.33%,49.95%,13.19,-4%/3%(阳),10%,16%,10%,8%,8%,0%,-2%
600258,首旅酒店,2008-09-24,5,2,12.82,4.86,25.64%,28.48%,13.79,-3%/3%(阴),-2%,-12%,-17%,-21%,-22%,-28%,-34%
600283,钱江水利,2006-05-19,7,3,9.54,10.82,50.12%,49.63%,13.8,1%/7%(阳),0%,-5%,-7%,-4%,-3%,0%,0%
600303,曙光股份,2011-09-21,5,4,9.38,9.67,38.24%,37.66%,11.83,-4%/1%(阴),-2%,-1%,-4%,-6%,-9%,-12%,-11%
600313,农发种业,2020-03-30,8,1,15.91,12.28,26.95%,32.79%,10.99,-4%/9%(板),20%,14%,17%,19%,19%,14%,9%
600318,新力金融,2022-02-23,4,1,12.07,7.26,28.78%,30.86%,12.75,-4%/8%(阳),8%,6%,0%,3%,2%,-2%,-6%
600336,澳柯玛,2008-02-18,6,2,10.12,12.72,19.76%,28.35%,11.03,-1%/1%(阴),4%,3%,1%,2%,-2%,-3%,-1%
600343,航天动力,2015-08-07,3,2,10.26,10.0,26.84%,31.89%,12.37,0%/9%(阳),14%,14%,10%,11%,11%,8%,4%
600343,航天动力,2021-01-20,3,1,11.75,12.6,21.81%,23.61%,11.24,-3%/0%(阳),2%,1%,-8%,-12%,-14%,-15%,-13%
600348,华阳股份,2021-07-26,3,5,9.71,7.52,58.26%,57.97%,5.24,-9%/2%(阴),-2%,-1%,-4%,-12%,-15%,-12%,-9%
600353,旭光电子,2024-10-28,8,4,6.85,9.26,35.19%,38.69%,8.68,-5%/9%(阳),13%(板),24%,21%,9%,11%,8%,4%
600353,旭光电子,2024-10-30,4,1,9.26,8.68,48.92%,48.15%,12.77,-3%/9%(阳),7%,-4%,-2%,-5%,-8%,-7%,1%
600353,旭光电子,2026-06-11,5,4,11.42,12.65,33.01%,37.49%,11.98,-4%/7%(阴),5%(板),15%(板),27%(板),40%(板),54%(板),67%,79%
600354,敦煌种业,2019-05-17,3,3,17.14,15.7,41.55%,48.59%,13.32,-9%/0%(阴),-10%,-5%(板),-3%,-8%,-12%,-5%(板),5%(板)
600358,国旅联合,2006-06-06,5,5,0.0,10.53,24.01%,34.73%,10.12,-9%/3%(阴),-11%,-12%,-25%,-26%,-27%,-27%,-23%
600362,江西铜业,2006-05-15,4,4,2.8,3.8,65.44%,61.49%,13.22,-9%/-5%(阴),-14%,-21%,-24%,-31%,-30%,-27%,-31%
600362,江西铜业,2009-03-20,7,2,8.09,8.82,46.81%,44.9%,7.54,-2%/9%(阳),4%,5%,9%,12%,8%,6%,10%
600362,江西铜业,2026-06-18,8,2,8.06,7.8,23.52%,31.79%,6.83,-5%/3%(阳),1%,-10%,-13%,-14%,-16%,-18%,-19%
600379,宝光股份,2026-08-12,7,5,9.55,8.55,41.36%,40.88%,11.9,-3%/5%(阴),1%,0%,3%,5%,1%,5%,8%
600388,紫金龙净,2013-07-24,7,1,9.11,12.07,44.33%,43.46%,11.74,-4%/1%(阴),4%,1%,-2%,-1%,2%,0%,-5%
600389,江山股份,2007-05-11,4,2,3.22,8.88,48.78%,45.68%,11.56,10%/9%(板),21%(板),32%,16%,15%,16%,15%,10%
600400,红豆股份,2020-02-06,3,2,10.27,12.08,50.45%,50.76%,8.17,-8%/10%(阴),2%,-12%,-17%,-19%,-21%,-20%,-18%
600403,大有能源,2020-12-24,6,3,10.61,11.47,17.42%,27.02%,7.8,11%/10%(板),21%(板),33%,40%,32%,26%,22%,13%
600425,青松建化,2016-01-14,3,1,10.06,11.88,30.17%,30.17%,14.54,-6%/0%(阳),0%,0%,-3%,-14%,-15%,-16%,-19%
600428,中远海特,2015-08-07,3,2,8.77,9.03,32.93%,31.72%,7.34,-9%/-10%(阴),-19%,-11%(板),-12%,-17%,-20%,-21%,-24%
600428,中远海特,2022-08-23,3,2,11.07,11.13,61.57%,62.58%,9.86,0%/9%(阳),20%(板),28%,19%,20%,6%,-5%,-3%
600438,通威股份,2008-02-20,7,1,9.42,7.61,60.67%,60.06%,9.46,-2%/4%(阳),5%,4%,3%(板),14%,20%,25%,25%
600449,宁夏建材,2026-08-07,5,4,9.94,9.84,38.76%,38.68%,12.07,-10%/-11%(阴),-16%,-18%,-19%,-23%,-21%,-22%,-24%
600455,博通股份,2019-11-19,4,1,9.61,10.13,37.99%,37.6%,8.62,-5%/1%(阴),5%(板),5%,-3%,-13%,-16%,-15%,-15%
600463,空港股份,2019-03-21,3,3,9.33,11.47,43.52%,42.88%,12.02,-5%/5%(阳),11%,4%,-6%,-12%,-14%,-12%,-9%
600466,未找到标的,2015-05-25,5,3,8.36,9.75,38.05%,36.41%,12.2,-2%/4%(阳),10%,9%,-2%,-2%,7%(板),13%,9%
600475,华光环能,2026-01-12,7,2,10.71,10.94,35.54%,36.23%,14.45,-5%/8%(阳),4%,2%,3%,9%,-2%,-10%,-11%
600476,*ST湘邮,2015-06-04,5,1,13.68,9.38,25.2%,31.85%,11.09,-3%/4%(阳),11%,1%,4%,1%,1%,4%,-4%
600481,双良节能,2009-04-15,6,2,14.13,8.41,57.33%,61.43%,12.1,-3%/5%(阳),3%,0%,-1%,-1%,-13%,-12%,-15%
600505,西昌电力,2021-03-18,6,4,9.76,10.54,27.91%,28.25%,13.7,-4%/10%(板),21%(板),29%,17%,4%,1%,3%,-2%
600537,*ST亿晶,2020-08-13,6,5,11.78,10.88,21.02%,22.93%,10.72,-3%/5%(阳),0%,4%,5%,4%,3%,1%,3%
600545,卓郎智能,2014-04-16,8,1,8.86,8.15,37.48%,36.39%,11.57,-2%/4%(阴),0%,4%,0%,-1%,-4%,-9%,-11%
600546,山煤国际,2008-05-21,6,1,8.48,11.65,34.05%,32.5%,12.94,-6%/4%(阴),-8%,-9%,-13%,-9%,-7%,-12%,-13%
600559,老白干酒,2020-11-05,6,2,10.58,9.28,32.59%,33.19%,10.69,-5%/-1%(阴),-2%,3%,10%,17%(板),17%,16%,28%
600596,新安股份,2026-06-03,5,1,9.79,9.88,19.5%,21.24%,9.09,-2%/1%(阴),4%,-3%,3%(板),10%,9%,4%,5%
600602,云赛智联,2000-02-16,3,1,8.62,5.94,49.22%,47.85%,10.0,-10%/9%(阴),-1%,7%,8%(板),12%,3%,13%(板),25%(板)
600613,神奇制药,1999-06-02,4,3,8.27,12.29,38.37%,36.63%,8.26,0%/9%(阴),1%,-12%,-12%,-13%,-15%,-13%,-7%
600620,天宸股份,2016-02-24,6,5,11.24,9.01,38.33%,39.52%,10.96,-10%/-1%(阴),-7%,-8%,-16%,-9%,-7%,-10%,-13%
600621,华鑫股份,2015-08-19,4,1,8.71,10.78,61.27%,59.94%,16.99,-8%/1%(阴),-5%,-15%,-25%,-23%,-21%,-13%(板),-5%
600621,华鑫股份,2017-11-29,6,5,9.51,10.9,25.48%,25.74%,13.24,-4%/0%(阴),0%,0%,-1%,-3%,-5%,2%,-3%
600624,ST复华,2008-05-06,6,5,7.02,6.12,54.42%,54.06%,12.6,-5%/3%(阴),-3%,-1%,-2%,-5%,-7%,-6%,-3%
600629,华建集团,2023-04-26,3,3,11.48,10.61,57.42%,58.83%,15.68,-6%/8%(阳),9%,20%(板),32%,34%,31%,21%,11%
600630,龙头股份,2008-05-06,6,5,8.3,5.6,22.03%,39.96%,13.5,-1%/7%(阴),4%,8%,11%,7%,8%,9%,14%
600633,浙数文化,2013-06-28,6,1,5.91,11.65,26.14%,34.62%,13.72,-2%/10%(板),14%,24%(板),36%,38%,26%,25%,32%
600635,大众公用,2000-03-08,3,2,9.82,9.62,24.06%,23.9%,9.07,-1%/7%(阳),4%,3%,-4%,-5%,-13%,-10%,-11%
600636,退市国化,2009-02-05,5,1,11.35,11.37,38.33%,39.61%,6.64,3%/10%(阴),10%,13%,6%,9%,11%,10%,2%
600647,未找到标的,2018-11-06,6,3,5.2,9.25,27.04%,25.2%,12.72,5%/10%(阴),8%,1%,1%,6%,5%,7%,17%
600650,锦江在线,2015-08-13,3,2,8.74,9.84,53.96%,52.7%,11.15,-3%/8%(阴),8%,5%,3%,1%,-9%,-21%,-25%
600663,陆家嘴,2006-11-27,3,1,10.72,9.84,58.48%,59.23%,11.77,-5%/2%(阳),0%,3%,6%,4%,9%,2%,-1%
600667,太极实业,2007-09-25,4,2,9.36,9.56,31.49%,30.89%,12.54,0%/9%(阳),-3%,-8%,-11%,-12%,-11%,-15%,-17%
600668,尖峰集团,2007-08-10,6,5,12.09,9.67,27.47%,29.51%,10.3,2%/9%(阳),10%,18%(板),24%,16%,17%,12%,10%
600668,尖峰集团,2007-08-15,5,2,9.67,10.3,38.53%,38.24%,8.59,-3%/5%(阴),-2%,-1%,-5%,-7%,-6%,-8%,-6%
600668,尖峰集团,2012-05-28,6,2,7.25,11.47,33.27%,31.73%,12.57,-2%/3%(阴),-1%,-1%,-2%,-7%,-8%,-8%,-7%
600674,川投能源,2008-05-05,5,4,16.74,4.75,46.79%,53.54%,11.58,-1%/5%(阳),3%,-18%,-12%,-14%,-19%,-20%,-21%
600683,京投发展,2023-06-06,4,1,10.92,10.71,31.44%,32.31%,11.88,1%/9%(板),20%(板),33%,27%,20%,14%,16%,15%
600696,未找到标的,2007-07-30,8,5,7.44,9.68,45.92%,45.01%,11.76,-2%/1%(阳),0%,4%,8%,5%,1%,-4%,-3%
600698,湖南天雁,2026-09-09,7,2,9.21,10.01,26.59%,25.83%,11.42,-6%/-3%(阴),-2%,-1%,-9%,-13%,-11%,-14%,-15%
600702,舍得酒业,2008-04-28,6,1,12.47,4.7,31.18%,35.41%,12.98,-3%/2%(阴),1%,5%,3%,2%,-2%,0%,7%
600713,南京医药,2008-05-13,7,2,4.29,12.46,46.79%,41.07%,13.65,-9%/0%(阴),-3%,-6%,-4%,-4%,-11%,-11%,-15%
600715,文投控股,2025-09-03,4,1,10.0,13.16,40.43%,40.43%,11.22,-9%/-1%(阴),-13%,-14%,-9%(板),-4%,-6%,1%,-3%
600724,宁波富达,2024-12-18,6,1,9.49,7.47,45.8%,45.26%,14.6,-10%/0%(阴),-10%,-16%,-18%,-15%,-16%,-15%,-16%
600726,华电能源,2021-11-01,5,1,11.28,11.19,19.84%,21.01%,13.21,-4%/6%(阳),0%,0%,-1%,-5%,1%,-3%,-5%
600728,佳都科技,2000-02-16,8,1,9.9,5.0,69.39%,69.27%,12.49,-9%/9%(阴),-9%,-11%,-18%,-24%,-23%,-22%,-19%(板)
600739,辽宁成大,2007-04-18,4,5,9.15,9.95,64.19%,63.33%,9.52,-2%/3%(阳),13%,20%,20%,18%,23%,34%,47%
600749,西藏旅游,2008-12-05,8,1,12.31,11.81,41.54%,44.31%,9.81,-4%/6%(阳),1%,-4%,-5%,-9%,-10%,-10%,-7%
600759,ST洲际,2021-02-22,7,1,5.92,0.0,42.11%,40.13%,11.73,-3%/6%(阴),-4%,-2%,-10%,-10%,-11%,-10%,-4%
600765,中航重机,2014-09-23,7,1,9.21,10.53,45.15%,44.38%,11.24,-2%/3%(阳),4%,1%,0%,-1%,3%,-1%,-3%
600765,中航重机,2015-08-12,3,5,10.78,7.97,33.71%,38.15%,7.45,-7%/3%(阳),2%,2%,-2%,-9%,-6%,-9%,-9%
600770,综艺股份,2000-01-06,3,1,10.15,10.0,33.5%,33.66%,11.42,3%/10%(阳),9%,13%,12%,0%,-5%,-2%,-2%
600774,汉商集团,2015-06-01,7,4,9.92,12.98,34.12%,34.04%,13.47,-4%/3%(阳),4%,4%,6%,1%,-1%,-1%,-3%
600784,鲁银投资,2016-03-01,7,1,9.28,11.11,25.33%,24.59%,14.08,-2%/5%(阳),4%,6%,2%,5%,1%,-2%,-6%
600793,宜宾纸业,1999-11-26,3,5,8.1,5.62,40.38%,38.48%,7.09,-5%/1%(阴),-6%,-4%,-5%,-4%,-6%,-22%,-16%(板)
600812,华北制药,2008-05-13,7,1,4.49,9.47,57.05%,51.6%,8.75,-8%/9%(阳),8%,2%,3%,0%,1%,3%,-3%
600816,建元信托,2012-12-18,6,1,11.53,10.36,45.48%,47.04%,11.77,-6%/3%(阴),-4%,-3%,-6%,-5%,-1%,-5%,-4%
600829,人民同泰,2019-04-08,4,1,10.31,11.99,39.42%,39.69%,12.86,-5%/0%(阴),-7%,-9%,-14%,-14%,-13%,-11%,-13%
600831,广电网络,2019-01-09,5,1,12.84,11.85,23.13%,27.46%,11.87,-4%/7%(阴),2%,0%,-3%,-2%,-4%,-6%,-6%
600846,同济科技,2008-05-06,6,5,7.96,5.19,40.13%,41.98%,13.61,-5%/3%(阴),-1%,1%,2%,-1%,0%,1%,7%
600865,百大集团,2000-05-26,8,3,5.82,6.63,25.64%,31.02%,7.55,-3%/2%(阳),2%,6%,6%,3%,5%,-4%,-6%
600865,百大集团,2015-04-03,4,3,10.12,10.26,49.5%,49.59%,12.54,-2%/9%(阳),9%,12%,12%,10%,5%,5%,3%
600867,通化东宝,2008-05-12,6,1,4.52,15.05,55.2%,49.68%,12.51,1%/9%(阴),13%,8%,10%,8%,7%,-2%,1%
600869,远东股份,2024-05-14,6,1,10.72,7.31,32.17%,32.98%,10.27,-6%/1%(阴),-6%,-7%,-12%,-12%,-13%,-14%,-15%
600881,亚泰集团,2007-01-23,4,4,13.3,0.0,16.45%,22.46%,10.81,-5%/-1%(阴),2%,0%,-3%,-2%,-6%,-15%,-13%
600883,博闻科技,1999-06-28,5,1,10.05,10.27,42.45%,42.5%,6.99,-6%/3%(阴),0%,-7%,-11%,-11%,-13%,-12%,-13%
600898,*ST美讯,2022-07-25,4,1,11.75,9.85,27.98%,29.8%,16.07,-4%/5%(阳),0%,-3%,-4%,-7%,-9%,-14%,-13%
600981,苏豪汇鸿,2007-03-27,6,4,10.75,9.92,66.78%,67.59%,7.3,1%/9%(板),18%,12%,17%,15%,14%,17%,22%
601002,晋亿实业,2008-11-10,6,4,6.47,11.26,41.76%,38.24%,8.22,-2%/7%(阴),6%,16%,19%,29%,27%,23%,21%
601005,重庆钢铁,2024-10-30,7,1,12.0,8.33,26.4%,28.0%,12.5,-3%/10%(板),20%,6%,10%,10%,17%,17%,12%
601011,宝泰隆,2024-11-20,6,1,11.84,9.58,20.41%,23.27%,12.31,-6%/0%(阴),-3%,-9%,-8%,-3%,-5%,-8%,-7%
601126,四方股份,2021-09-22,3,1,9.23,11.46,40.36%,39.6%,14.84,-6%/2%(阴),-3%,-3%,-13%,-13%,-11%(板),-6%,-9%
601133,柏诚股份,2026-06-26,5,1,9.51,12.06,29.98%,32.7%,11.29,0%/10%(板),19%,16%,5%,1%,-1%,-6%,-7%
601188,龙江交通,2023-09-14,5,1,10.12,11.18,24.85%,28.83%,14.05,3%/10%(板),21%(板),33%(板),30%,30%,11%,5%,6%
601216,君正集团,2024-12-18,3,3,9.77,13.87,41.41%,41.21%,9.27,-9%/-2%(阴),-14%,-21%,-23%,-23%,-24%,-23%,-24%
601368,绿城水务,2015-07-31,3,1,10.83,12.16,20.81%,32.75%,15.38,-3%/9%(板),16%,12%(板),23%,28%,23%,32%(板),43%
601388,怡球资源,2015-04-23,4,2,11.92,8.58,46.2%,48.08%,10.81,0%/9%(板),14%,6%,7%,6%,2%,2%,2%
601669,中国电建,2014-12-18,4,2,11.46,13.54,55.28%,56.63%,12.74,-1%/9%(板),20%,12%,6%,13%(板),21%,22%,27%
601777,千里科技,2024-07-11,8,1,11.59,10.48,26.52%,30.18%,10.34,-3%/3%(阴),4%,3%,2%,9%,6%,5%,12%
601865,福莱特,2021-06-22,4,1,9.59,10.37,35.0%,34.57%,8.5,-4%/0%(阳),2%,2%,2%,5%,5%,11%,7%
601882,海天精工,2022-10-26,4,1,9.84,10.67,61.25%,61.1%,17.34,-6%/3%(阴),-5%,-10%,-4%,-3%,-5%,-3%,-6%
601919,中远海控,2020-11-20,5,2,8.66,12.14,35.29%,36.62%,10.82,1%/7%(阳),5%,7%,1%,0%,3%,-5%,-2%
603000,人民网,2023-08-22,7,5,12.75,11.41,24.07%,26.83%,8.2,0%/9%(阳),7%,3%,1%,8%,15%(板),15%,17%
603002,宏昌电子,2015-08-13,3,3,11.65,5.38,42.0%,43.65%,9.75,-1%/4%(阴),1%,1%,0%,0%,-7%,-15%,-27%
603019,中科曙光,2024-11-11,3,4,10.25,12.29,61.13%,61.39%,9.48,-7%/2%(阴),-3%,-8%,-12%,-16%,-11%,-8%,-8%
603021,*ST华鹏,2024-12-06,3,1,10.69,11.72,42.97%,43.56%,14.02,-9%/-6%(阴),-9%,-13%,-13%,-13%,-15%,-21%,-25%
603023,威帝股份,2023-07-26,3,1,10.22,2.4,34.79%,35.04%,9.72,-2%/9%(阴),-6%,-13%,-18%,-20%,-21%,-21%,-21%
603026,石大胜华,2015-07-31,3,1,11.24,13.24,23.11%,31.09%,12.83,-1%/9%(板),15%,12%(板),23%(板),31%,22%,28%,22%
603028,赛福天,2016-11-18,7,1,9.89,11.83,28.54%,28.43%,11.44,0%/10%(板),13%,7%,7%,1%,-7%,-7%,-12%
603032,德新科技,2017-03-07,8,5,10.7,11.29,22.57%,28.29%,10.47,-3%/7%(阳),3%,-7%,-7%,-4%,-6%,-3%,-1%
603066,音飞储存,2015-07-31,3,1,11.96,14.8,20.69%,31.75%,14.36,-8%/8%(阳),8%,4%,-1%,-2%,-1%,6%,12%(板)
603066,音飞储存,2015-09-29,5,2,8.09,8.71,38.29%,36.37%,15.08,-6%/1%(阴),1%,0%,3%,7%,5%,6%,5%
603078,江化微,2019-10-09,5,2,10.63,12.27,31.0%,31.62%,13.5,-3%/4%(阳),1%,1%,-2%,-3%,-5%,-7%,-8%
603085,天成自控,2024-03-29,6,5,8.42,10.24,27.28%,25.74%,11.69,-5%/4%(阴),-3%,-7%,-12%,-13%,-10%,-11%,-12%
603113,金能科技,2021-02-22,7,1,7.58,5.38,30.72%,32.36%,12.67,-6%/2%(阴),-3%,-10%,-18%,-14%(板),-8%,-13%,-10%
603156,养元饮品,2026-05-18,4,2,8.23,14.27,37.04%,35.26%,5.49,-10%/1%(阴),2%,-6%,-12%,-11%,-14%,-10%,-12%
603166,福达股份,2015-10-15,6,2,9.88,9.03,50.59%,50.49%,14.36,-2%/10%(板),16%,20%,28%,25%,27%,29%,21%
603258,电魂网络,2021-11-15,7,2,10.88,11.26,40.51%,41.4%,11.36,-2%/7%(阳),1%,0%,-5%,-5%,-6%,-1%,-3%
603297,永新光学,2024-10-31,6,1,10.32,11.1,32.1%,32.41%,12.47,11%/10%(板),20%,20%,29%,25%,30%,34%,22%
603315,福鞍股份,2015-11-12,8,3,9.12,11.44,59.24%,58.35%,9.37,-10%/0%(阴),-10%,-7%,-12%,-13%,-13%,-14%,-9%
603396,金辰股份,2022-07-28,4,4,9.92,11.53,30.01%,29.93%,8.99,0%/8%(阳),15%(板),15%,16%,4%,3%,8%(板),17%
603486,科沃斯,2024-05-10,5,5,12.43,4.05,62.62%,65.05%,11.92,-2%/9%(阳),6%,6%,3%,-4%,-6%,-5%,-6%
603506,南都物业,2024-05-09,7,1,4.7,11.73,24.6%,25.83%,9.06,2%/10%(板),21%(板),24%,8%,10%(板),21%(板),26%,19%
603607,京华激光,2024-10-08,3,4,4.71,12.07,47.65%,42.39%,13.33,-9%/-3%(阴),-9%,-12%,-14%,-12%,-13%,-14%,-11%
603683,晶华新材,2025-09-23,6,4,11.12,10.33,56.85%,57.97%,8.74,-4%/-1%(阴),0%,-3%,-4%,-6%,-8%,-8%,-10%
603693,江苏新能,2021-09-22,8,2,11.47,12.6,49.66%,51.13%,12.91,3%/9%(阳),16%(板),26%,15%,11%,12%,8%,4%
603703,盛洋科技,2016-05-19,8,2,10.02,11.95,29.65%,29.67%,8.6,-3%/3%(阳),-55%,-58%,-58%,-61%,-61%,-59%,-58%
603716,塞力医疗,2022-05-18,4,2,12.28,9.85,25.1%,27.35%,11.0,-3%/5%(阴),2%,2%,-2%,-12%,-12%,-14%,-16%
603728,鸣志电器,2021-11-30,4,3,9.86,10.14,40.38%,40.22%,10.01,0%/6%(阴),4%,1%,-3%,-2%,-6%,-6%,-8%
603813,原尚股份,2018-05-25,3,1,6.29,6.45,42.09%,38.37%,13.36,-10%/10%(阳),-5%,-16%,-16%,-16%,-18%,-16%,-8%
603823,百合花,2026-07-07,5,4,8.01,20.0,55.11%,59.52%,12.88,-9%/2%(阴),-3%,-1%,-5%,-7%,-7%,-3%,5%
603825,ST华扬,2023-12-20,5,1,11.96,11.19,22.32%,26.12%,11.92,-10%/2%(阳),1%,-2%,-14%,-22%,-27%,-23%,-25%
603829,洛凯股份,2019-03-20,4,1,8.85,11.68,29.31%,28.57%,10.75,-6%/1%(阴),-6%,-10%,-11%,-12%,-12%,-14%,-11%
603860,中公高科,2022-12-07,7,1,10.21,9.5,27.87%,28.08%,15.23,-9%/-4%(阴),-10%,-11%,-14%,-15%,-12%,-12%,-14%
603863,松炀资源,2024-08-06,4,5,10.4,9.57,41.19%,41.58%,9.11,-2%/3%(阳),6%,5%,3%,4%,4%,10%,7%
603876,鼎胜新材,2021-08-10,6,1,17.45,10.92,25.99%,34.57%,11.26,-2%/8%(阳),9%,15%,9%,1%,-3%,-3%,1%
603877,太平鸟,2020-10-22,4,1,11.98,13.16,34.26%,36.23%,17.14,-2%/8%(阳),5%,4%,4%,1%,-1%,5%,7%
603887,城地香江,2024-12-23,3,1,9.98,11.31,27.96%,33.44%,13.07,-10%/6%(阴),-12%,-15%,-18%,-15%,-17%,-16%,-17%
603895,天永智能,2022-05-31,4,5,10.26,9.55,50.56%,50.81%,10.26,-2%/0%(阴),2%,1%,-10%,-14%,-11%,-11%,-9%
603991,领先股份,2026-06-18,7,4,10.3,9.34,25.49%,29.21%,11.21,3%/7%(阳),7%,4%,-1%,-1%,2%,8%(板),19%(板)
605090,九丰能源,2025-12-29,7,2,11.3,9.18,33.47%,34.78%,8.91,-7%/-2%(阴),-5%,0%,-4%,-7%,-3%,5%,11%
